device_name,update_time,link,Temp,RH,CO2,PM2.5,PM10,eTVOC,Noise
QP021,"20:15, Apr 26",https://qingpingiot.com/deviceDetail/2693B58D9D733F71F2FDEC27B18FE947?group_id=undefined,28.1,62.8%,3888,99999,99999,205,70
QP022,"14:15, Apr 26",https://qingpingiot.com/deviceDetail/8BC2A7A827D046626B8727DED753C7C6?group_id=undefined,29.1,60.2%,2990,21,22,43,70
QP023,"11:21, Apr 26",https://qingpingiot.com/deviceDetail/3C66D89E4D858E999D3CE83F445F0374?group_id=undefined,--,--,--,--,--,--,--
QP024,"10:10, Apr 26",https://qingpingiot.com/deviceDetail/5DAAB5AB4EAC07F02F9907B7F1DF7202?group_id=undefined,--,--,--,--,--,--,--
QP025,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/586F3E93722DFAC3919EBF40203B8292?group_id=undefined,28.7,62.7%,3708,99999,99999,181,63
QP026,"10:19, Apr 26",https://qingpingiot.com/deviceDetail/249578593DBC79F49A3FCED7AA42DEDD?group_id=undefined,--,--,--,--,--,--,--
QP027,"10:35, Apr 26",https://qingpingiot.com/deviceDetail/40EA82E651402B69C6A1F82A095D1974?group_id=undefined,--,--,--,--,--,--,--
QP028,"19:45, Apr 26",https://qingpingiot.com/deviceDetail/C357C03A54B017E68CC43EF35FE6D612?group_id=undefined,27.2,60%,4173,20,21,54,74
QP029,"14:15, Apr 26",https://qingpingiot.com/deviceDetail/60C7544FA62C771683D36867C43E4183?group_id=undefined,28.1,58.1%,2927,21,22,47,68
QP030,"10:06, Apr 26",https://qingpingiot.com/deviceDetail/D22BA29326DE08C686F770EEA2125189?group_id=undefined,--,--,--,--,--,--,--
QP031,"11:06, Apr 26",https://qingpingiot.com/deviceDetail/AAF7D633EC0379759E40F76212C2595B?group_id=undefined,--,--,--,--,--,--,--
QP032,"10:21, Apr 26",https://qingpingiot.com/deviceDetail/A58EC838C7FFCDF1B91208AF60882A18?group_id=undefined,--,--,--,--,--,--,--
QP033,"10:57, Apr 26",https://qingpingiot.com/deviceDetail/6B14CE70F15D1FE318C458C93809433B?group_id=undefined,--,--,--,--,--,--,--
QP034,"10:20, Apr 26",https://qingpingiot.com/deviceDetail/39D0FF575E3FED9401A3CF761F1F8A23?group_id=undefined,--,--,--,--,--,--,--
QP035,"10:12, Apr 26",https://qingpingiot.com/deviceDetail/B672C91EB1D5E269F5BEA7652BFB10E4?group_id=undefined,--,--,--,--,--,--,--
QP036,"10:09, Apr 26",https://qingpingiot.com/deviceDetail/B1D0F704642623DA7E48D08EEA3DB31F?group_id=undefined,--,--,--,--,--,--,--
QP037,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/3497965EDB0C8A4B200D2D9CDD464DF5?group_id=undefined,28.3,61.3%,3786,18,18,53,60
QP038,"14:46, May 14",https://qingpingiot.com/deviceDetail/8750941115B7DBC03F20D83E70F73AA5?group_id=undefined,27.4,63.4%,2265,6,6,--,63
QP039,"10:08, Apr 26",https://qingpingiot.com/deviceDetail/1EA1E63BA05799D9E97C219E38A394BB?group_id=undefined,--,--,--,--,--,--,--
QP040,"10:11, Apr 26",https://qingpingiot.com/deviceDetail/45668C5F097D147E49932BC40C436FC3?group_id=undefined,--,--,--,--,--,--,--
QP041,"10:52, Apr 26",https://qingpingiot.com/deviceDetail/47D2057CBF0ECD993E84004F8C636115?group_id=undefined,--,--,--,--,--,--,--
QP042,"11:10, Apr 26",https://qingpingiot.com/deviceDetail/C537C0FA3038A5F700FB48AB5D6487D5?group_id=undefined,--,--,--,--,--,--,--
QP043,"13:45, Apr 26",https://qingpingiot.com/deviceDetail/BA606960039A32E7BF2B9A4CF9B2E93F?group_id=undefined,29.5,56.9%,3295,18,20,48,63
QP044,"14:15, Apr 26",https://qingpingiot.com/deviceDetail/40D7E88F3F64A4C6E3A26F97F89C7D67?group_id=undefined,28.5,59.3%,2856,19,20,53,75
QP045,"19:45, Apr 26",https://qingpingiot.com/deviceDetail/F456D2EE2C29C3DC5E2E07AA8B31928A?group_id=undefined,26.7,63.1%,3959,20,21,113,70
QP046,"14:30, Apr 26",https://qingpingiot.com/deviceDetail/1AE4A59A92CFFF44D24416F31E5CD956?group_id=undefined,28.3,59.9%,3347,18,18,52,90
QP047,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/9336433C117017D16DDE5142C9DCF74F?group_id=undefined,28,62.9%,3739,17,17,58,73
QP048,"10:03, Apr 26",https://qingpingiot.com/deviceDetail/FD5A022A372A2A0E509A5742A6DA5F1F?group_id=undefined,--,--,--,--,--,--,--
QP049,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/B47F3C3B86A630E64F9DF61150318908?group_id=undefined,28,65.1%,3827,19,20,56,71
QP050,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/D615ECFB18BC73F4516DDC49147E86FB?group_id=undefined,28,59.2%,3985,21,23,55,64
QP051,"10:22, Apr 26",https://qingpingiot.com/deviceDetail/329114D29E4B38B0D366DEF8406ED118?group_id=undefined,--,--,--,--,--,--,--
QP052,"19:45, Apr 26",https://qingpingiot.com/deviceDetail/9103700BE35F6FF242B8782FCFF8ABAD?group_id=undefined,26.3,64.4%,4277,24,24,52,74
QP053,"11:05, Apr 26",https://qingpingiot.com/deviceDetail/2E07912F49E5EA70C28845024631DCB3?group_id=undefined,--,--,--,--,--,--,--
QP054,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/932612A589C1397A2AC0ADD2D2F34D42?group_id=undefined,27.8,59.5%,3641,22,22,139,66
QP055,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/042E065F860E2482E6889C42E26CB194?group_id=undefined,28.6,62.2%,3813,21,21,33,62
QP056,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/D47008006367EB968A979696BBBC1F2F?group_id=undefined,28.2,59.9%,3713,17,19,33,69
QP057,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/9B24FC0712A3B07F528DCACB6856EBCA?group_id=undefined,28.3,61.4%,3503,19,19,53,72
QP058,"14:15, Apr 26",https://qingpingiot.com/deviceDetail/8786103B3A5480DB65999BBCCCF412FF?group_id=undefined,28.5,56%,2980,19,19,36,67
QP059,"10:26, Apr 26",https://qingpingiot.com/deviceDetail/5E4A2982178CD5A981007E11B542A3E2?group_id=undefined,--,--,--,--,--,--,--
QP060,"11:45, Apr 26",https://qingpingiot.com/deviceDetail/7C30C5B15076C3A92453EC92DF13E041?group_id=undefined,28.9,61.1%,3367,22,23,52,62
QP061,"14:30, Apr 26",https://qingpingiot.com/deviceDetail/45CDF24888C2C42DD51DAF1EFA7A902F?group_id=undefined,28,59.5%,3077,17,18,53,83
QP062,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/DFEA758014BB96E3A7C5179AEA99D605?group_id=undefined,27.9,63.3%,3904,22,23,33,70
QP063,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/AF33D2E33ECC25E4E6FFF4D3ED651E22?group_id=undefined,28.1,65.8%,3793,19,20,53,60
QP064,"14:30, Apr 26",https://qingpingiot.com/deviceDetail/829059AD4362DA9EDD33CD69BCC2BA11?group_id=undefined,28.1,62.2%,3265,19,20,54,81
QP065,"13:45, Apr 26",https://qingpingiot.com/deviceDetail/8DAC4576CB88337CC97CF714A1C8EDA7?group_id=undefined,30.7,58.3%,3055,20,21,44,69
QP066,"18:00, Apr 26",https://qingpingiot.com/deviceDetail/AA2430414CAB05D4F1841E4E68F1776E?group_id=undefined,28.4,65.3%,4426,19,19,50,74
QP067,"14:15, Apr 26",https://qingpingiot.com/deviceDetail/DA802CEE1CFEFC59A549227CCA263C7D?group_id=undefined,28,60.8%,3147,23,25,43,66
QP068,"11:47, Apr 26",https://qingpingiot.com/deviceDetail/BE4DB0178D74B36A6930DA35AF76EE1E?group_id=undefined,--,--,--,--,--,--,--
QP069,"10:41, Apr 26",https://qingpingiot.com/deviceDetail/1723EE7E562E77F5A07D66E3BF37FEBD?group_id=undefined,--,--,--,--,--,--,--
QP070,"11:01, Apr 26",https://qingpingiot.com/deviceDetail/722A33AFB5272758ABD7FBD2A7EB9F75?group_id=undefined,--,--,--,--,--,--,--
QP071,"10:32, Apr 26",https://qingpingiot.com/deviceDetail/82C2034E4967503EC8C75B7510FAFF29?group_id=undefined,--,--,--,--,--,--,--
QP072,"14:30, Apr 26",https://qingpingiot.com/deviceDetail/1B577A44E12D31D690A14C077095DF09?group_id=undefined,27.6,59.9%,2969,20,21,52,64
QP073,"11:00, Apr 26",https://qingpingiot.com/deviceDetail/649FCCB0D6E21EDF5329A37A2BF2E1C9?group_id=undefined,--,--,--,--,--,--,--
QP074,"18:45, Apr 26",https://qingpingiot.com/deviceDetail/BCADA66F2085DC65A27C27D32077C87E?group_id=undefined,25.5,60.4%,3855,22,23,11,64
QP075,"11:02, Apr 26",https://qingpingiot.com/deviceDetail/FC5F6E89D41C18F380F79C54B54BE54F?group_id=undefined,--,--,--,--,--,--,--
QP076,"11:01, Apr 26",https://qingpingiot.com/deviceDetail/C29828CC54DA1BDFF2693F353F00968B?group_id=undefined,--,--,--,--,--,--,--
QP077,"14:30, Apr 26",https://qingpingiot.com/deviceDetail/E14B3445D715681D79AF7A011138F225?group_id=undefined,28.6,61.8%,3340,19,22,51,77
QP078,"14:30, Apr 26",https://qingpingiot.com/deviceDetail/81FB4258CBC6525F016EA1BEE7B6DC0C?group_id=undefined,27.9,61.3%,3427,19,20,52,76
QP079,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/938F5AA047BCC33637C67105CF3A60EB?group_id=undefined,27.9,64.4%,3852,17,19,36,69
QP080,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/A8B9DC4D9C19D38B13C96748865CA4AD?group_id=undefined,27.2,64.1%,3798,20,22,38,69
QP081,"10:58, Apr 26",https://qingpingiot.com/deviceDetail/3F549ABE7789E3E8A6035B22DAD9B024?group_id=undefined,--,--,--,--,--,--,--
QP082,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/02FDB4025BC6FE703611B75E47962CD8?group_id=undefined,27.7,65.8%,3865,20,21,52,63
QP083,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/4ADEE9CAF97D6E13AEBB1729890BFB69?group_id=undefined,26.9,64.6%,3576,17,18,47,67
QP084,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/24A1ED44C3708A084E13DD1B68924EFE?group_id=undefined,28.2,59.8%,3719,17,17,52,75
QP085,"11:25, Apr 26",https://qingpingiot.com/deviceDetail/0A130DB92F89124CD72FF696CCD59B4F?group_id=undefined,--,--,--,--,--,--,--
QP086,"12:45, Apr 28",https://qingpingiot.com/deviceDetail/F74A3810E06828ACD156D10A97BB8A96?group_id=undefined,27.5,60.3%,4826,19,19,--,55
QP087,"11:00, Apr 26",https://qingpingiot.com/deviceDetail/833872921C30E8A0FA0F700EA0F27BBD?group_id=undefined,26.9,65.9%,3310,26,27,40,69
QP088,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/33DB4DFD038B7DF953D7647222059B73?group_id=undefined,27.6,65.3%,3834,18,19,52,69
QP089,"11:20, Apr 26",https://qingpingiot.com/deviceDetail/C10E0B71515DE4BCB52BFE7C90F05C77?group_id=undefined,--,--,--,--,--,--,--
QP090,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/B95020EB065AEA41EB4752D8BAE73533?group_id=undefined,28.4,61.9%,3631,19,19,52,68
QP091,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/156D9841097D7BF190F97706721A8529?group_id=undefined,27.8,63.7%,3680,21,22,55,70
QP092,"15:45, Apr 26",https://qingpingiot.com/deviceDetail/AE6E5A414304C492E2278A26E11DA7F4?group_id=undefined,27.4,63.2%,3757,19,20,--,66
QP093,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/E768A1462241A668BED70E7FA795999C?group_id=undefined,28.3,61.7%,4008,18,18,52,68
QP094,"14:00, Apr 26",https://qingpingiot.com/deviceDetail/47250A9E656441C6C30E028A99D66911?group_id=undefined,27.7,58.7%,3446,20,21,52,69
QP095,"11:01, Apr 26",https://qingpingiot.com/deviceDetail/5D921EEF45FB4C03572B159B4E63BB2B?group_id=undefined,--,--,--,--,--,--,--
QP096,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/6EC21CCFC12FC3E1ED81FF52019B89A4?group_id=undefined,28.3,60%,3983,16,17,52,73
QP097,"14:30, Apr 26",https://qingpingiot.com/deviceDetail/2DDF0A21385CE442BCEF81D2D7B35143?group_id=undefined,28.7,63.8%,3390,21,22,52,91
QP098,"14:15, Apr 26",https://qingpingiot.com/deviceDetail/D9151305932E94A19FFA1FFC89102ADD?group_id=undefined,28.2,55.4%,2877,23,24,47,68
QP099,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/19BCEF27CC757F66E67C27E583777853?group_id=undefined,28.3,63%,4164,19,19,51,72
QP100,"11:07, Apr 26",https://qingpingiot.com/deviceDetail/BEAFCBBA561EA7B945B86545E1EFC684?group_id=undefined,--,--,--,--,--,--,--
QP101,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/7CE76A3C36562ECBD174AB72A906695F?group_id=undefined,27.5,65.2%,4037,18,18,52,61
QP102,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/99D963C777C657C04799DF1271C981D0?group_id=undefined,26.1,68.7%,4314,18,21,76,74
QP103,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/FC1F5DB56F0D8033A08DDDB92FF91669?group_id=undefined,26.8,68.5%,3826,20,21,53,72
QP104,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/8D4EC63FA0CA66FDB382FBE22A47C609?group_id=undefined,28.4,64.5%,4220,17,17,53,67
QP105,"11:25, Apr 26",https://qingpingiot.com/deviceDetail/D392926468CF12FAFE7C9485A00618C4?group_id=undefined,--,--,--,--,--,--,--
QP106,"12:18, Apr 26",https://qingpingiot.com/deviceDetail/0AB93F9D31C6F6A6369141A7F5BEA24B?group_id=undefined,--,--,--,--,--,--,--
QP107,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/7508763AB9C919A630818DF8F4739A5E?group_id=undefined,28.2,61.7%,4364,15,17,53,79
QP108,"11:37, Apr 26",https://qingpingiot.com/deviceDetail/3AA10982FB8AC31444C8F14838CE855B?group_id=undefined,--,--,--,--,--,--,--
QP109,"11:25, Apr 26",https://qingpingiot.com/deviceDetail/5EE07CBA248DC2891776E7189E1C9DB3?group_id=undefined,--,--,--,--,--,--,--
QP110,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/861CC48F7E2CFDA5BEFD2AA24272F21D?group_id=undefined,26.1,66.7%,3666,21,24,35,65
QP111,"12:41, May 16",https://qingpingiot.com/deviceDetail/3EE5DF6528790F3364A1397C387A33EB?group_id=undefined,25.8,63.4%,1597,9,10,53,53
QP112,"11:26, Apr 26",https://qingpingiot.com/deviceDetail/8930B83F4777D8D837EBD9216A42CEB1?group_id=undefined,--,--,--,--,--,--,--
QP113,"21:00, Apr 26",https://qingpingiot.com/deviceDetail/9EF98C52912039E0E5BD22DCC92E0DD3?group_id=undefined,28.9,67%,3891,99999,99999,205,59
QP114,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/056EA575676D6B8B71A625D956672C10?group_id=undefined,27.6,64.9%,4487,20,20,55,74
QP115,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/69E10973ECEFCA3EC913E9054E83397E?group_id=undefined,27.3,67.1%,4234,16,17,52,70
QP116,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/EE832DE8540C5418BB3FF4BA58E0A34E?group_id=undefined,27.1,63.6%,4032,22,22,52,73
QP117,"11:41, Apr 26",https://qingpingiot.com/deviceDetail/C022F5473FC380B9E5CEF8EC4A1441DF?group_id=undefined,--,--,--,--,--,--,--
QP118,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/2AC91E23BDD0B093E7C918F9DBA8BADD?group_id=undefined,27.4,64.1%,3990,18,18,52,64
QP119,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/5ACDA6F878542567FAA08266BE8C149E?group_id=undefined,28.5,63.1%,4463,16,18,53,81
QP120,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/995715F460B565CC0ACC1D81AF2FC2F5?group_id=undefined,28.1,61.3%,3991,15,15,52,71
QP121,"15:02, Apr 26",https://qingpingiot.com/deviceDetail/C857006116CCB9985196E520A51253E1?group_id=undefined,--,--,--,--,--,--,--
QP122,"11:50, Apr 26",https://qingpingiot.com/deviceDetail/529B30794D4B6CCE0EC65F5AB18D08F2?group_id=undefined,--,--,--,--,--,--,--
QP123,"11:30, Apr 26",https://qingpingiot.com/deviceDetail/ED92D660026E503764DCC35465489E98?group_id=undefined,26.6,66.6%,3567,24,27,52,84
QP124,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/50E052F922A169B9A482D375C870867F?group_id=undefined,27.7,61.5%,3628,99999,99999,34,70
QP125,"15:30, Apr 26",https://qingpingiot.com/deviceDetail/9B374DF699FD2052187A8BE07EDFF8FF?group_id=undefined,28.8,60.2%,3818,22,24,--,75
QP126,"11:51, Apr 26",https://qingpingiot.com/deviceDetail/2831EA1B554A3DDE11EBAECEA80FB4C9?group_id=undefined,--,--,--,--,--,--,--
QP127,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/B33AF90B344AE74EBE5185240219D5C9?group_id=undefined,27.9,65.6%,4169,21,22,121,64
QP128,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/3446C360C9C0BDF6393327DC1DB544FC?group_id=undefined,28,64.7%,4082,24,24,52,70
QP129,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/F257ED1C98906AFB6AAC3E52E6F99542?group_id=undefined,27.8,64.2%,4359,16,16,52,76
QP130,"12:03, Apr 26",https://qingpingiot.com/deviceDetail/AB9B3889AA0F8EA7069E59926EF2E58F?group_id=undefined,--,--,--,--,--,--,--
QP131,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/35D7F96920F99FF6B0D5ABD62E5711E6?group_id=undefined,28.5,59.7%,3818,24,25,97,73
QP132,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/19D90A97A875C6553B584F2103DC3664?group_id=undefined,28.2,64.8%,4675,16,16,53,93
QP133,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/E5D2755F0C327B04C63D7BECDA8B2276?group_id=undefined,27.6,62%,3772,20,20,53,74
QP134,"12:00, Apr 26",https://qingpingiot.com/deviceDetail/801E491AA94CC58B770EBA04FB197AE3?group_id=undefined,--,--,--,--,--,--,--
QP135,"16:45, Apr 26",https://qingpingiot.com/deviceDetail/501C005448C3C3490FAEDA431C8B1C3E?group_id=undefined,27.9,62.7%,4080,17,20,53,70
QP136,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/AF4BAFFD56EF2D1A91189C1501B51344?group_id=undefined,28.6,62.3%,4147,20,21,53,70
QP137,"16:00, Apr 26",https://qingpingiot.com/deviceDetail/C33ADC0EDF574FAF136301D6F7EF1C54?group_id=undefined,28.2,66.5%,4338,25,26,52,76
QP138,"18:00, Apr 26",https://qingpingiot.com/deviceDetail/6047074F77F28684FCAD27DBC107E79D?group_id=undefined,28.3,63%,4386,21,22,39,74
QP139,"11:42, Apr 26",https://qingpingiot.com/deviceDetail/57C56BD80F13656F86A30DE3DD9DB400?group_id=undefined,--,--,--,--,--,--,--
QP140,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/52CE612A8A10F01A7403D6909F7B1AE5?group_id=undefined,27.2,66.7%,3860,18,19,49,76
QP141,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/2983549847EEB0F3F4E5DB4EDCF12D6D?group_id=undefined,26.1,64.3%,4014,29,30,52,74
QP142,"18:00, Apr 26",https://qingpingiot.com/deviceDetail/4A81E371C00A53A91857083A3497BBE1?group_id=undefined,28.4,66.6%,3910,99999,99999,130,64
QP143,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/510864415C1908EE6999AFBC30C5998E?group_id=undefined,28.5,67.2%,4411,20,21,52,95
QP144,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/8D66F9C026417F5BDDC52D1F218FE0DC?group_id=undefined,28.4,63.3%,4132,16,16,53,79
QP145,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/8FACA4AABD0D984A051043A842629E69?group_id=undefined,27.8,61.7%,4123,18,18,52,71
QP146,"12:10, Apr 26",https://qingpingiot.com/deviceDetail/9A168FBBD68EF9B1D0B4C0BECBA9D370?group_id=undefined,--,--,--,--,--,--,--
QP147,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/691F882839986DAF74846CB58A92E16C?group_id=undefined,27.6,62.5%,4209,20,20,53,72
QP148,"20:15, Apr 26",https://qingpingiot.com/deviceDetail/287A1F35830D3F3CA9742B5263620119?group_id=undefined,27.5,64.3%,4273,18,19,52,70
QP149,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/60B94FAB96E0DA2DC3748EA6D73EE3CF?group_id=undefined,28.4,61.6%,4208,17,17,52,69
QP150,"12:31, Apr 26",https://qingpingiot.com/deviceDetail/1C22B66F0EF9B17183899A757792C2A7?group_id=undefined,--,--,--,--,--,--,--
QP151,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/6F6A4D0AE44DBC904441A97C14966F16?group_id=undefined,25.8,66.8%,3705,24,26,2,64
QP152,21 hours,https://qingpingiot.com/deviceDetail/68D52DB72950B6F17AE1D7705D6F8EBA?group_id=undefined,27.2,62.6%,1409,18,20,52,74
QP153,"12:17, Apr 26",https://qingpingiot.com/deviceDetail/7B5AEF046D034C38F6E4797ADDA5AFB1?group_id=undefined,--,--,--,--,--,--,--
QP154,"12:15, Apr 26",https://qingpingiot.com/deviceDetail/B1B638D8A07C6E119CF0A16FF62C7228?group_id=undefined,--,--,--,--,--,--,--
QP155,"12:10, Apr 26",https://qingpingiot.com/deviceDetail/B691229D511873E191F0CBF4485424BF?group_id=undefined,--,--,--,--,--,--,--
QP156,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/BED477C66A4B1A7AEECDF94424742084?group_id=undefined,25.8,64.6%,3671,22,22,--,62
QP157,"12:25, Apr 26",https://qingpingiot.com/deviceDetail/015E18EA832802172A57AEE897451628?group_id=undefined,--,--,--,--,--,--,--
QP158,"19:00, Apr 26",https://qingpingiot.com/deviceDetail/2CED814FDA1E164A33550831828A3CDB?group_id=undefined,25.5,62.7%,3620,22,22,3,67
QP159,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/8225E6C5BA2A447B84B339F8F8C6158B?group_id=undefined,27.6,65.1%,3974,21,22,53,64
QP160,"12:27, Apr 26",https://qingpingiot.com/deviceDetail/433421D20B07DCC47615310E73A2C8ED?group_id=undefined,--,--,--,--,--,--,--
QP161,"12:18, Apr 26",https://qingpingiot.com/deviceDetail/119144B6187B960B4B06B1387E648A6C?group_id=undefined,--,--,--,--,--,--,--
QP162,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/9A2492F5DF9438638B801BEE809A4185?group_id=undefined,26.9,64.7%,3718,24,25,70,76
QP163,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/8A72890EA9759B3404062F6C75EF0218?group_id=undefined,28.2,61.3%,4478,20,20,52,71
QP164,"17:00, Apr 26",https://qingpingiot.com/deviceDetail/44F0A97848CAC0D60D5D06A5A786C8E0?group_id=undefined,28.1,62.6%,4057,20,20,52,67
QP165,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/C9FD781A67E8787642C1800A5CC82F7C?group_id=undefined,27,64.8%,3633,20,20,57,65
QP166,"19:15, Apr 26",https://qingpingiot.com/deviceDetail/9CAF8CE306D8C58D6DFD6390C1E7A5AD?group_id=undefined,26.5,64.2%,4180,24,24,70,70
QP167,"13:27, Apr 26",https://qingpingiot.com/deviceDetail/C998A4A9A7256E627D6D842A04A869CC?group_id=undefined,--,--,--,--,--,--,--
QP168,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/392041356C1F979EBE136884408854A7?group_id=undefined,28.2,65.9%,4485,18,19,53,72
QP169,"17:15, Apr 26",https://qingpingiot.com/deviceDetail/3A058E0E490B208754EB05AEA3942061?group_id=undefined,27.7,65.3%,4218,17,17,51,69
